Number of commits: 125

NOTE: etcd was excluded because it doesn't compile due to grpc changes

Compilation time:
	* github.com/boltdb/bolt/cmd/bolt: from 616.387828ms to 608.214362ms, -1.33%
	* github.com/gogits/gogs: from 15.261902388s to 15.077212489s, -1.21%
	* github.com/spf13/hugo: from 7.572419367s to 7.442231971s, -1.72%
	* github.com/influxdata/influxdb/cmd/influxd: from 7.134895405s to 7.061516979s, -1.03%
	* github.com/nsqio/nsq/apps/nsqd: from 2.488679928s to 2.44750362s, -1.65%
	* github.com/mholt/caddy: from 5.572195354s to 5.444731663s, -2.29%

Binary size:
	* github.com/boltdb/bolt/cmd/bolt: from 2618526 to 2593283, -0.96%
	* github.com/gogits/gogs: from 23021534 to 22906574, -0.50%
	* github.com/spf13/hugo: from 14992636 to 14913467, -0.53%
	* github.com/influxdata/influxdb/cmd/influxd: from 15707782 to 15624774, -0.53%
	* github.com/nsqio/nsq/apps/nsqd: from 9845751 to 9796747, -0.50%
	* github.com/mholt/caddy: from 13283927 to 13227799, -0.42%

Bechmarks:
BenchmarkMsgpMarshal-4                   	10000000	       204 ns/op	     128 B/op	       1 allocs/op
BenchmarkMsgpUnmarshal-4                 	 3000000	       402 ns/op	     112 B/op	       3 allocs/op
BenchmarkVmihailencoMsgpackMarshal-4     	 1000000	      2091 ns/op	     352 B/op	       5 allocs/op
BenchmarkVmihailencoMsgpackUnmarshal-4   	 1000000	      1944 ns/op	     352 B/op	      13 allocs/op
BenchmarkJsonMarshal-4                   	  500000	      3450 ns/op	    1232 B/op	      10 allocs/op
BenchmarkJsonUnmarshal-4                 	  500000	      3603 ns/op	     416 B/op	       7 allocs/op
BenchmarkEasyJsonMarshal-4               	 1000000	      1478 ns/op	     784 B/op	       5 allocs/op
BenchmarkEasyJsonUnmarshal-4             	 1000000	      1495 ns/op	     160 B/op	       4 allocs/op
BenchmarkBsonMarshal-4                   	 1000000	      1563 ns/op	     392 B/op	      10 allocs/op
BenchmarkBsonUnmarshal-4                 	 1000000	      2051 ns/op	     248 B/op	      21 allocs/op
BenchmarkGobMarshal-4                    	 1000000	      1072 ns/op	      48 B/op	       2 allocs/op
BenchmarkGobUnmarshal-4                  	 1000000	      1121 ns/op	     112 B/op	       3 allocs/op
BenchmarkXdrMarshal-4                    	 1000000	      1744 ns/op	     455 B/op	      20 allocs/op
BenchmarkXdrUnmarshal-4                  	 1000000	      1559 ns/op	     240 B/op	      11 allocs/op
BenchmarkUgorjiCodecMsgpackMarshal-4     	  500000	      3050 ns/op	    2752 B/op	       8 allocs/op
BenchmarkUgorjiCodecMsgpackUnmarshal-4   	  500000	      3329 ns/op	    3008 B/op	       6 allocs/op
BenchmarkUgorjiCodecBincMarshal-4        	  500000	      3095 ns/op	    2784 B/op	       8 allocs/op
BenchmarkUgorjiCodecBincUnmarshal-4      	  500000	      3589 ns/op	    3168 B/op	       9 allocs/op
BenchmarkSerealMarshal-4                 	  500000	      3481 ns/op	     912 B/op	      21 allocs/op
BenchmarkSerealUnmarshal-4               	  500000	      3664 ns/op	    1008 B/op	      34 allocs/op
BenchmarkBinaryMarshal-4                 	 1000000	      1591 ns/op	     256 B/op	      16 allocs/op
BenchmarkBinaryUnmarshal-4               	 1000000	      1824 ns/op	     335 B/op	      22 allocs/op
BenchmarkFlatbuffersMarshal-4            	 5000000	       365 ns/op	       0 B/op	       0 allocs/op
BenchmarkFlatBuffersUnmarshal-4          	 5000000	       305 ns/op	     112 B/op	       3 allocs/op
BenchmarkCapNProtoMarshal-4              	 3000000	       511 ns/op	      56 B/op	       2 allocs/op
BenchmarkCapNProtoUnmarshal-4            	 3000000	       507 ns/op	     200 B/op	       6 allocs/op
BenchmarkCapNProto2Marshal-4             	 1000000	      1207 ns/op	     244 B/op	       3 allocs/op
BenchmarkCapNProto2Unmarshal-4           	 1000000	      1209 ns/op	     320 B/op	       6 allocs/op
BenchmarkHproseMarshal-4                 	 1000000	      1111 ns/op	     473 B/op	       8 allocs/op
BenchmarkHproseUnmarshal-4               	 1000000	      1247 ns/op	     320 B/op	      10 allocs/op
BenchmarkProtobufMarshal-4               	 1000000	      1167 ns/op	     200 B/op	       7 allocs/op
BenchmarkProtobufUnmarshal-4             	 2000000	       773 ns/op	     192 B/op	      10 allocs/op
BenchmarkGoprotobufMarshal-4             	 2000000	       608 ns/op	     312 B/op	       4 allocs/op
BenchmarkGoprotobufUnmarshal-4           	 2000000	       868 ns/op	     432 B/op	       9 allocs/op
BenchmarkGogoprotobufMarshal-4           	10000000	       182 ns/op	      64 B/op	       1 allocs/op
BenchmarkGogoprotobufUnmarshal-4         	 5000000	       276 ns/op	      96 B/op	       3 allocs/op
BenchmarkGencodeMarshal-4                	10000000	       194 ns/op	      80 B/op	       2 allocs/op
BenchmarkGencodeUnmarshal-4              	 5000000	       244 ns/op	     112 B/op	       3 allocs/op
BenchmarkGencodeUnsafeMarshal-4          	10000000	       122 ns/op	      48 B/op	       1 allocs/op
BenchmarkGencodeUnsafeUnmarshal-4        	10000000	       205 ns/op	      96 B/op	       3 allocs/op
PASS
ok  	github.com/alecthomas/go_serialization_benchmarks	69.800s

benchmark                                  old ns/op     new ns/op     delta
BenchmarkVmihailencoMsgpackUnmarshal-4     352           352           +0.00%
BenchmarkJsonMarshal-4                     1232          1232          +0.00%
BenchmarkJsonUnmarshal-4                   416           416           +0.00%
BenchmarkEasyJsonMarshal-4                 784           784           +0.00%
BenchmarkEasyJsonUnmarshal-4               160           160           +0.00%
BenchmarkBsonMarshal-4                     392           392           +0.00%
BenchmarkBsonUnmarshal-4                   248           248           +0.00%
BenchmarkGobMarshal-4                      48            48            +0.00%
BenchmarkGobUnmarshal-4                    112           112           +0.00%
BenchmarkXdrMarshal-4                      456           455           -0.22%
BenchmarkXdrUnmarshal-4                    239           240           +0.42%
BenchmarkUgorjiCodecMsgpackMarshal-4       2753          2752          -0.04%
BenchmarkUgorjiCodecMsgpackUnmarshal-4     3008          3008          +0.00%
BenchmarkUgorjiCodecBincMarshal-4          2785          2784          -0.04%
BenchmarkUgorjiCodecBincUnmarshal-4        3168          3168          +0.00%
BenchmarkSerealMarshal-4                   912           912           +0.00%
BenchmarkSerealUnmarshal-4                 1008          1008          +0.00%
BenchmarkBinaryMarshal-4                   256           256           +0.00%
BenchmarkBinaryUnmarshal-4                 336           335           -0.30%
BenchmarkFlatbuffersMarshal-4              0             0             +0.00%
BenchmarkFlatBuffersUnmarshal-4            112           112           +0.00%
BenchmarkCapNProtoMarshal-4                56            56            +0.00%
BenchmarkCapNProtoUnmarshal-4              200           200           +0.00%
BenchmarkCapNProto2Marshal-4               244           244           +0.00%
BenchmarkCapNProto2Unmarshal-4             320           320           +0.00%
BenchmarkHproseMarshal-4                   473           473           +0.00%
BenchmarkHproseUnmarshal-4                 320           320           +0.00%
BenchmarkProtobufMarshal-4                 200           200           +0.00%
BenchmarkProtobufUnmarshal-4               192           192           +0.00%
BenchmarkGoprotobufMarshal-4               312           312           +0.00%
BenchmarkGoprotobufUnmarshal-4             432           432           +0.00%
BenchmarkGogoprotobufMarshal-4             64            64            +0.00%
BenchmarkGogoprotobufUnmarshal-4           96            96            +0.00%
BenchmarkGencodeMarshal-4                  80            80            +0.00%
BenchmarkGencodeUnmarshal-4                112           112           +0.00%
BenchmarkGencodeUnsafeMarshal-4            48            48            +0.00%
BenchmarkGencodeUnsafeUnmarshal-4          96            96            +0.00%

Highlights: 
	* https://github.com/golang/go/issues?q=milestone%3AGo1.6.2 go1.6.2 released
	* https://github.com/golang/go/commit/89a1f02834f1472cf307b222e14884ebd41086d3 hash/adler32: Unroll loop for extra performance.
	* https://github.com/golang/go/commit/f60fcca5f1e7b7a33e219ec45d4bd9dc58dd2552 net: fix plan9 after context change, propagate contexts more
	* https://github.com/golang/go/commit/b6b4004d5a5bf7099ac9ab76777797236da7fe63 net: context plumbing, add Dialer.DialContext
	* https://github.com/golang/go/commit/585590549a3c6e26e7963081e11478a1913744a6 net/http: add Transport.Dialer, plumb RoundTrip contexts to net package
	* https://github.com/golang/go/commit/6ec481b06c1ceba5792e355ca45f7476bb78f21f compress/flate: use uncompressed if dynamic encoding is larger
	* https://github.com/golang/go/commit/55ab07c224a358cabe795fb1e52a627194d7daee cmd/compile: static composite literals are side-effect free
	* https://github.com/golang/go/commit/a4dd6ea1524901fab5deac60772345babd058ae7 runtime: add maxSliceCap
	* https://github.com/golang/go/commit/0150f15a924a7b4ac0c794012f6b12c8aa406b54 runtime: call mallocgc directly from makeslice and growslice


commit 7d56215bcbc5a2ef5e59805271b0ca6a4fd56e4d
Author: David Crawshaw <crawshaw@golang.org>
Date:   Tue Apr 19 14:02:21 2016 -0400

    cmd/link: convert textp into a slice
    
    Updates #15374
    
    Change-Id: I3ea715735862fe9550b88d7a29def6cb9d4419a6
    Reviewed-on: https://go-review.googlesource.com/22243
    Run-TryBot: David Crawshaw <crawshaw@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Michael Hudson-Doyle <michael.hudson@canonical.com>

commit 5a0881a1d1797a5f34c33ec4cf67cb97cc1aa634
Author: David Crawshaw <crawshaw@golang.org>
Date:   Tue Apr 19 08:59:56 2016 -0400

    cmd/link: calculate section alignment concurrently
    
    Reduces link time for cmd/go by 1%.
    
    Change-Id: Iad4a16db0aedc56f81ddf73ba9b632e418dc1b19
    Reviewed-on: https://go-review.googlesource.com/22242
    Reviewed-by: Michael Hudson-Doyle <michael.hudson@canonical.com>
    Run-TryBot: David Crawshaw <crawshaw@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit 45522a6a93efe0fd487f6875f2b104d772a26469
Author: Alex Brainman <alex.brainman@gmail.com>
Date:   Thu Apr 21 11:44:05 2016 +1000

    debug/pe: introduce Section.Relocs
    
    cmd/link reads PE object files when building programs with cgo.
    cmd/link accesses object relocations. Add new Section.Relocs that
    provides similar functionality in debug/pe.
    
    Updates #15345
    
    Change-Id: I34de91b7f18cf1c9e4cdb3aedd685486a625ac92
    Reviewed-on: https://go-review.googlesource.com/22332
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Alex Brainman <alex.brainman@gmail.com>

commit e48434887e568fa96800a0dff36ab45bc844ea04
Author: Keith Randall <khr@golang.org>
Date:   Wed Apr 20 21:46:39 2016 -0700

    cmd/compile: fix ssa/check/on build
    
    Disable phielimValue from rewrite pass for now.
    
    Change-Id: I9f3bb1f527b50bc7a21cc6b7cb89f6136efd81e8
    Reviewed-on: https://go-review.googlesource.com/22335
    Run-TryBot: Keith Randall <khr@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Keith Randall <khr@golang.org>

commit 7e460e70d90295cf08ea627c0a0fff170aba5518
Author: Martin Möhrmann <martisch@uos.de>
Date:   Wed Apr 20 18:00:52 2016 +0200

    runtime: use type int to specify size for newarray
    
    Consistently use type int for the size argument of
    runtime.newarray, runtime.reflect_unsafe_NewArray
    and reflect.unsafe_NewArray.
    
    Change-Id: Ic77bf2dde216c92ca8c49462f8eedc0385b6314e
    Reviewed-on: https://go-review.googlesource.com/22311
    Reviewed-by: Keith Randall <khr@golang.org>
    Run-TryBot: Martin Möhrmann <martisch@uos.de>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit 4938d7b5fc06bbd137619eddd494a8cca288eb25
Author: Keith Randall <khr@golang.org>
Date:   Wed Apr 20 17:29:50 2016 -0700

    cmd/compile: fix dominator check in check()
    
    Ancestor comparison was the wrong way around, effectively
    disabling the def-must-dominate-use check.
    
    Update #15084
    
    Change-Id: Ic56d674c5000569d2cc855bbb000a60eae517c7c
    Reviewed-on: https://go-review.googlesource.com/22330
    Run-TryBot: Keith Randall <khr@golang.org>
    Reviewed-by: Josh Bleecher Snyder <josharian@gmail.com>

commit 9568d54fb8d89267304d23cac23190f55ec95683
Author: David Crawshaw <crawshaw@golang.org>
Date:   Wed Apr 20 19:10:20 2016 -0400

    cmd/link: fix reordering of plt/rel
    
    For the Solaris and S/390 builders.
    
    Change-Id: Id9a83e0df91e6d0df8488ec5e2a546ba8e2d800e
    Reviewed-on: https://go-review.googlesource.com/22327
    Run-TryBot: David Crawshaw <crawshaw@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Michael Hudson-Doyle <michael.hudson@canonical.com>
    Reviewed-by: Michael Munday <munday@ca.ibm.com>

commit 11f1041022e001869de076699f297b28d25fc558
Author: Alex Brainman <alex.brainman@gmail.com>
Date:   Thu Apr 21 10:42:25 2016 +1000

    debug/pe: update cstring documentation
    
    Updates #15345
    
    Change-Id: If1fca1f6042571cb0ac689bbb3c294309dd6e7b4
    Reviewed-on: https://go-review.googlesource.com/22331
    Reviewed-by: Ian Lance Taylor <iant@golang.org>
    Run-TryBot: Alex Brainman <alex.brainman@gmail.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit 285a18436d480ef91b2af236d5ddd2fa7fa49de8
Author: Alex Brainman <alex.brainman@gmail.com>
Date:   Wed Apr 20 15:58:55 2016 +1000

    debug/pe: pretty section.go code
    
    Introduce (*SectionHeader32).fullName and add documentation comments.
    
    Updates #15345
    
    Change-Id: I8f3b8ab9492642d62e7aad010c91c68daea3f14b
    Reviewed-on: https://go-review.googlesource.com/22301
    Reviewed-by: Ian Lance Taylor <iant@golang.org>
    Run-TryBot: Alex Brainman <alex.brainman@gmail.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit 75b886ab790782f34945c0e1b0dee4189399ac9e
Author: Tal Shprecher <tshprecher@gmail.com>
Date:   Wed Apr 20 14:05:48 2016 -0700

    cmd/compile: reject embedded unsafe.Pointer values
    
    Fixes #14729
    
    Change-Id: Ied819aa7b23e25de30aa8cde049c97297b4cab11
    Reviewed-on: https://go-review.googlesource.com/22325
    Reviewed-by: Matthew Dempsky <mdempsky@google.com>
    Run-TryBot: Matthew Dempsky <mdempsky@google.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit f4f1b30749be167b7c5ecb7c775c2acd8d32ae9e
Author: Robert Griesemer <gri@golang.org>
Date:   Wed Apr 20 16:41:43 2016 -0700

    cmd/compile: accept old and new import format for builtin declarations
    
    Test with forceNewExport set to true (but continues to be disabled by
    default for now).
    
    Fixes #15322.
    
    Change-Id: I3b893db2206cbb79e66339284f22f4a0b20bf137
    Reviewed-on: https://go-review.googlesource.com/22328
    Reviewed-by: Matthew Dempsky <mdempsky@google.com>

commit ed41054b6d1306537df0ba3a34d11579ae2c1829
Author: David Crawshaw <crawshaw@golang.org>
Date:   Mon Apr 18 14:50:14 2016 -0400

    cmd/link: process data symbols with slices
    
    First (and largest single) step to switching cmd/link from linked
    lists of symbols to slices.
    
    Sort sections independently and concurrently.
    This reduces jujud link times on linux/amd64 by ~4%.
    
    Updates #15374
    
    Change-Id: I452bc8f33081039468636502fe3c1cc8d6ed9efa
    Reviewed-on: https://go-review.googlesource.com/22205
    Reviewed-by: Michael Hudson-Doyle <michael.hudson@canonical.com>

commit cda0aa16807b20410e57992b09570f6a9dd11f9b
Author: David Crawshaw <crawshaw@golang.org>
Date:   Wed Apr 20 10:36:49 2016 -0400

    cmd/link: cleanup Datablk debug printing
    
    (Split out from CL 22205.)
    
    Change-Id: I45838dda8ea8c451b4388b8aade2c209cde2c0e1
    Reviewed-on: https://go-review.googlesource.com/22299
    Reviewed-by: Michael Hudson-Doyle <michael.hudson@canonical.com>
    Run-TryBot: Michael Hudson-Doyle <michael.hudson@canonical.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit 0fec75f5ca6a75962fb5037f59a1743659ac3bf3
Author: Lynn Boger <laboger@linux.vnet.ibm.com>
Date:   Wed Apr 20 08:15:07 2016 -0500

    crypto/md5: add assembly implementation on ppc64le
    
    This change improves the performance of the block
    function used within crypto/md5 on ppc64le.  The following
    improvement was seen:
    
    BenchmarkHash8Bytes              8.39         26.04        3.10x
    BenchmarkHash1K                  99.41        407.84       4.10x
    BenchmarkHash8K                  108.87       460.00       4.23x
    BenchmarkHash8BytesUnaligned     8.39         25.80        3.08x
    BenchmarkHash1KUnaligned         89.94        407.81       4.53x
    BenchmarkHash8KUnaligned         96.57        459.22       4.76x
    
    Fixes #15385
    
    Change-Id: I8af5af089cc3e3740c33c662003d104de5fe1d1b
    Reviewed-on: https://go-review.googlesource.com/22294
    Run-TryBot: Michael Munday <munday@ca.ibm.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit aea224386ea7c10c07490bb6cdef12a51fa9a9cf
Author: Robert Griesemer <gri@golang.org>
Date:   Wed Apr 20 13:40:55 2016 -0700

    math/big: more tests, documentation for Flot gob marshalling
    
    Follow-up to https://golang.org/cl/21755.
    This turned out to be a bit more than just a few nits
    as originally expected in that CL.
    
    1) The actual mantissa may be shorter than required for the
       given precision (because of trailing 0's): no need to
       allocate space for it (and transmit 0's). This can save
       a lot of space when the precision is high: E.g., for
       prec == 1000, 16 words or 128 bytes are required at the
       most, but if the actual number is short, it may be much
       less (for the test cases present, it's significantly less).
    
    2) The actual mantissa may be longer than the number of
       words required for the given precision: make sure to
       not overflow when encoding in bytes.
    
    3) Add more documentation.
    
    4) Add more tests.
    
    Change-Id: I9f40c408cfdd9183a8e81076d2f7d6c75e7a00e9
